algorithm,primal_lb,gap_pct,instance,status,time_elapsed,rnd_seed,num_items,num_classes,optimal
mckp,504675.0,0.0,ndfikk_1000_20,feasible,43.202423566,ndfikk,1000,20,True
compact,1003656.0,0.0228113777972576,akdftn_600_100,feasible,3600.000791072845,akdftn,600,100,False
mckp,994017.0,0.0,jwsajq_400_20,feasible,63.733255061,jwsajq,400,20,True
compact,1003877.0,9.9338222609229e-05,dbqsdm_1200_20,feasible,14.81658101081848,dbqsdm,1200,20,True
compact,1012107.0,9.88036849822351e-05,oosesk_1000_100,feasible,0.1172201633453369,oosesk,1000,100,True
compact,1004226.0,4.802397786160273e-05,dnfshm_400_20,feasible,0.3037118911743164,dnfshm,400,20,True
mckp,515546.0,0.0,knxpxx_1200_20,feasible,48.669362794,knxpxx,1200,20,True
mckp,1003181.0,0.0,mqdhsp_1200_20,feasible,48.56753602,mqdhsp,1200,20,True
compact,1003100.0,9.969085864733462e-05,rwfbur_800_20,feasible,0.4491150379180908,rwfbur,800,20,True
mckp,997326.0,0.0,hxzpls_800_20,feasible,42.106092964,hxzpls,800,20,True
mckp,995686.0,0.0,orhpoo_1000_100,feasible,283.1200838,orhpoo,1000,100,True
mckp,999933.0,0.0,bvuuya_400_20,feasible,77.80199573300001,bvuuya,400,20,True
mckp,976524.0,0.0,zbitjc_1000_20,feasible,44.985902998,zbitjc,1000,20,True
mckp,502850.0,0.0,vjylrn_1200_20,feasible,47.293176308,vjylrn,1200,20,True
compact,972527.0,6.854988873833418e-05,wlapwk_400_20,feasible,0.0267958641052246,wlapwk,400,20,True
compact,1011008.0,9.89110878340351e-05,flxecx_400_100,feasible,0.3398549556732178,flxecx,400,100,True
mckp,1005826.0,0.0,vpxssj_1200_100,feasible,294.979958302,vpxssj,1200,100,True
compact,1004260.0,0.0,mtvcut_800_100,feasible,0.022170066833496,mtvcut,800,100,True
compact,1007812.0,0.0,kysakj_1000_100,feasible,0.0735130310058593,kysakj,1000,100,True
compact,995494.0,0.5504448047486232,zjxbmh_1200_20,feasible,3600.000627040863,zjxbmh,1200,20,False
compact,513319.0,0.0,rhxluy_400_20,feasible,0.013031005859375,rhxluy,400,20,True
compact,972701.0,1.8280141349604888,hxfkyd_1200_20,feasible,3600.0009429454803,hxfkyd,1200,20,False
compact,1012216.0,0.0,yollvg_1200_100,feasible,0.0812878608703613,yollvg,1200,100,True
mckp,1007523.0,0.0,plqkzm_400_100,feasible,114.256413203,plqkzm,400,100,True
mckp,1003832.0,0.0,inmnaf_800_20,feasible,57.441496701000005,inmnaf,800,20,True
mckp,1003167.0,0.0,vnjhxp_1000_20,feasible,48.848536277,vnjhxp,1000,20,True
mckp,1004251.0,0.0,ngxkda_400_20,feasible,72.28475419,ngxkda,400,20,True
mckp,501887.0,0.0,hhnbfy_800_20,feasible,48.634511547,hhnbfy,800,20,True
compact,992487.0,9.710832720140996e-05,kozclw_800_20,feasible,20.499237060546875,kozclw,800,20,True
compact,1001669.0,9.98332784250302e-05,testig_1000_20,feasible,0.1059491634368896,testig,1000,20,True
mckp,975427.0,0.0,pafbdz_1200_100,feasible,339.176115487,pafbdz,1200,100,True
compact,1010975.0,0.0017773862172205,yeeclu_1200_100,feasible,3600.000843048096,yeeclu,1200,100,False
mckp,1002938.0,0.0,tbxddm_600_20,feasible,98.019234387,tbxddm,600,20,True
compact,502936.0,0.0,jtgvwi_1200_20,feasible,0.0074021816253662,jtgvwi,1200,20,True
mckp,1010340.0,0.0,tlhdcf_1000_100,feasible,256.901626932,tlhdcf,1000,100,True
mckp,1003343.0,0.0,zgpsmt_1000_20,feasible,62.010273716,zgpsmt,1000,20,True
mckp,990695.0,0.0,hxvdkz_1200_20,feasible,53.890304685,hxvdkz,1200,20,True
compact,1002815.0,9.98941557141746e-05,czkbxt_800_20,feasible,15.587131023406982,czkbxt,800,20,True
mckp,1001526.0,0.0,tlmuee_600_20,feasible,70.64896543,tlmuee,600,20,True
