algorithm,primal_lb,instance,status,time_elapsed,num_items,num_classes,repetition,pisinger_R,knapsack_generator,optimal
mckp,117532.0,span_uncorrelated_1000-rnduniform-rnduniform-500-20-1,feasible,2.05918359,500,20,1,1000,span_uncorrelated,True
mckp,294934.0,almost_strongly_correlated_1000-rnduniform-rnduniform-1000-100-2,feasible,1.4951849430000002,1000,100,2,1000,almost_strongly_correlated,True
mckp,113550.0,profit_ceiling_1000-rnduniform-rnduniform-500-20-0,feasible,4.507650569,500,20,0,1000,profit_ceiling,True
mckp,260582.0,weakly_correlated_1000-rnduniform-rnduniform-1000-100-3,feasible,1.511563451,1000,100,3,1000,weakly_correlated,True
mckp,1911830.0,span_strongly_correlated_10000-rnduniform-rnduniform-1000-20-5,feasible,41.764285426,1000,20,5,10000,span_strongly_correlated,True
compact,328287.0,strongly_correlated_1000-rnduniform-rnduniform-1000-100-7,feasible,0.1971709728240966,1000,100,7,1000,strongly_correlated,True
compact,276552.0,span_weakly_correlated_1000-rnduniform-rnduniform-1000-100-9,feasible,3600.0009241104126,1000,100,9,1000,span_weakly_correlated,False
mckp,298315.0,strongly_correlated_1000-rnduniform-rnduniform-1000-100-3,feasible,1.42845803,1000,100,3,1000,strongly_correlated,True
compact,78628.0,mstr_1000-rnduniform-rnduniform-200-20-6,feasible,0.036755084991455,200,20,6,1000,mstr,True
mckp,1252106.0,inverse_strongly_correlated_10000-rnduniform-rnduniform-500-20-1,feasible,60.529408712,500,20,1,10000,inverse_strongly_correlated,True
compact,149444.0,almost_strongly_correlated_1000-rnduniform-rnduniform-500-20-1,feasible,0.6295289993286133,500,20,1,1000,almost_strongly_correlated,False
mckp,267879.0,profit_ceiling_1000-rnduniform-rnduniform-1000-100-9,feasible,1.598291602,1000,100,9,1000,profit_ceiling,True
mckp,76014.0,span_strongly_correlated_1000-rnduniform-rnduniform-500-20-1,feasible,1.053000468,500,20,1,1000,span_strongly_correlated,True
mckp,267652.0,subset_sum_1000-rnduniform-rnduniform-1000-100-9,feasible,1.4253116449999998,1000,100,9,1000,subset_sum,True
mckp,110181.0,profit_ceiling_10000-rnduniform-rnduniform-50-20-3,feasible,1.305807427,50,20,3,10000,profit_ceiling,True
compact,1179242.0,subset_sum_10000-rnduniform-rnduniform-500-20-0,feasible,0.0116889476776123,500,20,0,10000,subset_sum,True
compact,5050022.0,circle_10000-rnduniform-rnduniform-1000-100-9,feasible,0.1568188667297363,1000,100,9,10000,circle,False
compact,681575.0,uncorrelated_similar-rnduniform-rnduniform-2000-20-0,feasible,0.028498888015747,2000,20,0,100000,uncorrelated_similar,True
mckp,8277330.0,uncorrelated_10000-rnduniform-rnduniform-2000-100-7,feasible,94.137627211,2000,100,7,10000,uncorrelated,True
compact,777095.0,uncorrelated_10000-rnduniform-rnduniform-200-20-7,feasible,0.0248210430145263,200,20,7,10000,uncorrelated,True
mckp,596706.0,almost_strongly_correlated_1000-rnduniform-rnduniform-2000-100-2,feasible,11.658804198,2000,100,2,1000,almost_strongly_correlated,True
mckp,3021702.0,almost_strongly_correlated_10000-rnduniform-rnduniform-1000-20-3,feasible,418.304753329,1000,20,3,10000,almost_strongly_correlated,True
compact,531083.0,weakly_correlated_10000-rnduniform-rnduniform-200-20-5,feasible,0.0455551147460937,200,20,5,10000,weakly_correlated,True
mckp,2262300.0,span_weakly_correlated_10000-rnduniform-rnduniform-1000-100-1,feasible,16.128007296000003,1000,100,1,10000,span_weakly_correlated,True
mckp,48071.0,circle_1000-rnduniform-rnduniform-100-20-8,feasible,0.173111085,100,20,8,1000,circle,True
compact,117344.0,subset_sum_1000-rnduniform-rnduniform-500-20-4,feasible,0.007505178451538,500,20,4,1000,subset_sum,True
mckp,384780.0,uncorrelated_1000-rnduniform-rnduniform-1000-100-4,feasible,1.5654150320000002,1000,100,4,1000,uncorrelated,True
mckp,45174.0,subset_sum_1000-rnduniform-rnduniform-200-20-2,feasible,0.3041807299999999,200,20,2,1000,subset_sum,True
compact,2142905.0,uncorrelated_10000-rnduniform-rnduniform-500-20-9,feasible,0.0559248924255371,500,20,9,10000,uncorrelated,True
compact,558318.0,weakly_correlated_1000-rnduniform-rnduniform-2000-20-7,feasible,0.1017708778381347,2000,20,7,1000,weakly_correlated,False
compact,5414064.0,weakly_correlated_10000-rnduniform-rnduniform-2000-100-5,feasible,0.2748239040374756,2000,100,5,10000,weakly_correlated,False
compact,154974.99999999994,almost_strongly_correlated_1000-rnduniform-rnduniform-500-20-4,feasible,0.3437869548797607,500,20,4,1000,almost_strongly_correlated,True
compact,178447.0,uncorrelated_similar-rnduniform-rnduniform-500-20-0,feasible,0.0163679122924804,500,20,0,100000,uncorrelated_similar,True
compact,2160763.0,span_strongly_correlated_10000-rnduniform-rnduniform-500-20-5,feasible,3600.000485897064,500,20,5,10000,span_strongly_correlated,False
mckp,520210.0,subset_sum_1000-rnduniform-rnduniform-2000-100-7,feasible,11.027719802,2000,100,7,1000,subset_sum,True
